Abington - Abington High,49,36,6,0,  49.0
Abington - Abington High,46,34,9,1,  44.0
Abington - Abington High,16,50,16,0,N/A
Acton-Boxborough - Acton-Boxborough Regional High,361,86,9,2,  60.0
Acton-Boxborough - Acton-Boxborough Regional High,397,44,13,6,  62.0
Acton-Boxborough - Acton-Boxborough Regional High,304,126,15,3,N/A
Agawam - Agawam High,144,149,23,6,  53.0
Agawam - Agawam High,166,92,42,23,  44.5
Agawam - Agawam High,54,147,97,13,N/A
Amesbury - Amesbury High,100,42,4,4,  66.0
Amesbury - Amesbury High,107,23,13,7,  60.0
Amesbury - Amesbury High,45,73,24,3,N/A
Amherst-Pelham - Amherst Regional High,136,77,8,4,  49.0
Amherst-Pelham - Amherst Regional High,160,35,15,12,  56.0
Amherst-Pelham - Amherst Regional High,81,107,17,4,N/A
Andover - Andover High,337,119,5,2,  44.0
Andover - Andover High,377,60,19,8,  57.0
Andover - Andover High,163,214,74,2,N/A
Arlington - Arlington High,211,51,4,0,  49.0
Arlington - Arlington High,211,39,13,3,  50.5
Arlington - Arlington High,100,123,32,1,N/A
Ashburnham-Westminster - Oakmont Regional High School,91,75,7,3,  41.0
Ashburnham-Westminster - Oakmont Regional High School,103,46,19,6,  47.5
Ashburnham-Westminster - Oakmont Regional High School,59,81,26,5,N/A
Ashland - Ashland High,131,48,3,0,  58.5
Ashland - Ashland High,143,34,6,0,  65.0
Ashland - Ashland High,59,98,20,0,N/A
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,70,189,12,0,  40.0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,98,107,55,13,  50.0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,61,155,35,3,N/A
Athol-Royalston - Athol High,20,53,10,2,  43.0
Athol-Royalston - Athol High,26,21,27,10,  39.0
Athol-Royalston - Athol High,11,31,27,5,N/A
Attleboro - Attleboro High,193,171,22,10,  53.0
Attleboro - Attleboro High,225,89,51,30,  36.5
Attleboro - Attleboro High,51,192,115,14,N/A
Auburn - Auburn Senior High,87,65,1,1,  44.5
Auburn - Auburn Senior High,81,61,10,1,  41.0
Auburn - Auburn Senior High,47,76,20,1,N/A
Ayer Shirley School District - Ayer Shirley Regional High School,42,34,7,0,  51.0
Ayer Shirley School District - Ayer Shirley Regional High School,45,19,13,5,  36.0
Ayer Shirley School District - Ayer Shirley Regional High School,12,46,17,4,N/A
Bedford - Bedford High,149,61,3,0,  63.0
Bedford - Bedford High,151,39,16,4,  53.0
Bedford - Bedford High,83,87,24,1,N/A
Belchertown - Belchertown High,106,60,3,0,  66.0
Belchertown - Belchertown High,105,51,10,1,  70.0
Belchertown - Belchertown High,63,88,13,0,N/A
Bellingham - Bellingham High School,61,67,4,3,  36.0
Bellingham - Bellingham High School,71,36,15,11,  46.0
Bellingham - Bellingham High School,33,64,22,2,N/A
Belmont - Belmont High,233,63,4,0,  42.0
Belmont - Belmont High,255,33,9,1,  55.0
Belmont - Belmont High,183,87,12,1,N/A
Berkshire Hills - Monument Mt Regional High,71,60,6,1,  41.0
Berkshire Hills - Monument Mt Regional High,71,41,17,10,  49.0
Berkshire Hills - Monument Mt Regional High,34,59,38,2,N/A
Beverly - Beverly High,172,118,21,4,  43.5
Beverly - Beverly High,169,82,42,21,  32.0
Beverly - Beverly High,125,131,46,5,N/A
Billerica - Billerica Memorial High School,150,124,13,4,  42.0
Billerica - Billerica Memorial High School,156,66,49,22,  41.0
Billerica - Billerica Memorial High School,124,107,51,6,N/A
Blackstone Valley Regional Vocational Technical - Blackstone Valley,177,114,0,1,  54.0
Blackstone Valley Regional Vocational Technical - Blackstone Valley,192,84,17,0,  57.0
Blackstone Valley Regional Vocational Technical - Blackstone Valley,120,140,21,1,N/A
Blackstone-Millville - Blackstone Millville RHS,67,47,3,0,  62.0
Blackstone-Millville - Blackstone Millville RHS,69,33,11,2,  41.0
Blackstone-Millville - Blackstone Millville RHS,28,70,11,2,N/A
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,83,136,5,0,  48.0
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,92,87,39,6,  49.0
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,41,136,36,2,N/A
Boston - Another Course To College,20,31,5,0,  58.5
Boston - Another Course To College,27,9,18,3,  53.5
Boston - Another Course To College,2,19,21,0,N/A
Boston - Boston Arts Academy,29,79,5,1,  35.0
Boston - Boston Arts Academy,36,42,29,5,  30.0
Boston - Boston Arts Academy,4,52,43,4,N/A
Boston - Boston Community Leadership Academy,15,103,9,6,  51.0
Boston - Boston Community Leadership Academy,33,58,26,15,  34.0
Boston - Boston Community Leadership Academy,1,30,86,12,N/A
Boston - Boston International  High School,3,44,22,2, 
Boston - Boston International  High School,35,27,7,2, 
Boston - Boston International  High School,7,18,26,2,N/A
Boston - Brighton High,9,94,42,16,  32.0
Boston - Brighton High,23,40,50,51,  31.0
Boston - Brighton High,3,22,67,39,N/A
Boston - Charlestown High,9,86,29,30,  51.0
Boston - Charlestown High,47,37,27,42,  58.5
Boston - Charlestown High,8,31,43,33,N/A
Boston - Community Academy of Science and Health,9,32,20,3,  53.5
Boston - Community Academy of Science and Health,10,23,16,17,  59.0
Boston - Community Academy of Science and Health,0,12,31,10,N/A
Boston - Dorchester Academy,5,38,17,6,  31.0
Boston - Dorchester Academy,10,18,18,21,  36.0
Boston - Dorchester Academy,0,10,32,12,N/A
Boston - East Boston High,59,192,51,22,  53.0
Boston - East Boston High,62,108,90,57,  27.0
Boston - East Boston High,2,87,153,32,N/A
Boston - Excel High School,9,56,10,4,  33.0
Boston - Excel High School,22,27,20,9,  43.5
Boston - Excel High School,6,24,28,2,N/A
Boston - Fenway High School,21,46,4,2,  44.5
Boston - Fenway High School,35,21,16,3,  51.0
Boston - Fenway High School,7,33,29,1,N/A
Boston - Jeremiah E Burke High,4,51,21,3,  38.0
Boston - Jeremiah E Burke High,21,31,23,3,  74.0
Boston - Jeremiah E Burke High,8,22,19,6,N/A
Boston - Lyon Upper 9-12,5,22,4,0,  42.5
Boston - Lyon Upper 9-12,6,8,9,7,  30.5
Boston - Lyon Upper 9-12,1,1,19,5,N/A
Boston - Madison Park High,10,117,50,34,  42.5
Boston - Madison Park High,10,40,69,89,  28.0
Boston - Madison Park High,3,46,66,81,N/A
Boston - Margarita Muniz Academy,8,36,10,1,  62.0
Boston - Margarita Muniz Academy,15,20,14,7,  68.0
Boston - Margarita Muniz Academy,1,9,36,5,N/A
Boston - New Mission High School,23,46,6,0,  43.0
Boston - New Mission High School,36,28,10,1,  54.0
Boston - New Mission High School,7,38,30,2,N/A
Boston - Snowden International School at Copley,15,53,7,1,  49.0
Boston - Snowden International School at Copley,18,34,17,4,  46.0
Boston - Snowden International School at Copley,3,36,22,6,N/A
Boston - The English High,9,70,10,5,  59.0
Boston - The English High,30,32,22,11,  88.0
Boston - The English High,3,20,54,14,N/A
Boston - Urban Science Academy,7,49,16,0,  36.5
Boston - Urban Science Academy,14,25,19,16,  38.0
Boston - Urban Science Academy,2,12,23,17,N/A
Boston - West Roxbury Academy,6,62,25,3,  39.0
Boston - West Roxbury Academy,9,29,29,26,  40.0
Boston - West Roxbury Academy,0,16,47,17,N/A
Boston Day and Evening Academy Charter - Boston Day and Evening Academy Charter School,6,17,3,0, 
Boston Day and Evening Academy Charter - Boston Day and Evening Academy Charter School,5,10,8,4, 
Boston Day and Evening Academy Charter - Boston Day and Evening Academy Charter School,0,2,7,1,N/A
Bourne - Bourne High School,33,52,3,0,  44.0
Bourne - Bourne High School,40,34,11,3,  54.0
Bourne - Bourne High School,15,47,18,2,N/A
Braintree - Braintree High,246,115,4,2,  47.0
Braintree - Braintree High,263,82,22,3,  36.0
Braintree - Braintree High,143,178,34,5,N/A
Bridgewater-Raynham - Bridgewater-Raynham Regional,183,172,15,2,  36.0
Bridgewater-Raynham - Bridgewater-Raynham Regional,220,88,37,28,  53.0
Bridgewater-Raynham - Bridgewater-Raynham Regional,89,184,80,5,N/A
Bristol County Agricultural - Bristol County Agricultural High,50,62,3,0,  34.0
Bristol County Agricultural - Bristol County Agricultural High,59,41,12,4,  32.0
Bristol County Agricultural - Bristol County Agricultural High,33,66,14,1,N/A
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,121,184,21,1,  43.0
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,155,103,57,14,  65.0
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,30,176,102,4,N/A
Brockton - Brockton Champion High School,0,14,3,1, 
Brockton - Brockton Champion High School,0,3,7,4, 
Brockton - Brockton High,330,493,92,55,  61.0
Brockton - Brockton High,341,277,204,148,  53.0
Brockton - Brockton High,92,436,267,92,N/A
Brockton - Edison Academy,0,5,7,2, 
Brockton - Edison Academy,0,1,5,8, 
Brookline - Brookline High,331,104,8,2,  63.0
Brookline - Brookline High,346,67,19,12,  57.0
Brookline - Brookline High,236,128,48,10,N/A
Burlington - Burlington High,149,92,6,1,  52.0
Burlington - Burlington High,156,67,22,2,  48.0
Burlington - Burlington High,70,117,51,0,N/A
Cambridge - Cambridge Rindge and Latin,234,152,40,8,  50.0
Cambridge - Cambridge Rindge and Latin,279,87,41,24,  60.0
Cambridge - Cambridge Rindge and Latin,166,123,88,19,N/A
Canton - Canton High,149,56,6,1,  60.0
Canton - Canton High,156,34,14,10,  54.5
Canton - Canton High,93,73,27,1,N/A
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,29,111,17,0,  40.0
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,59,60,27,8,  63.0
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,18,78,37,6,N/A
Central Berkshire - Wahconah Regional High,73,56,7,5,  59.5
Central Berkshire - Wahconah Regional High,77,34,20,8,  58.0
Central Berkshire - Wahconah Regional High,61,51,16,7,N/A
Chelmsford - Chelmsford High,273,78,1,5,  52.0
Chelmsford - Chelmsford High,272,65,9,8,  67.0
Chelmsford - Chelmsford High,158,151,30,6,N/A
Chelsea - Chelsea High,62,146,31,20,  48.0
Chelsea - Chelsea High,47,86,63,63,  25.0
Chelsea - Chelsea High,21,110,85,27,N/A
Chicopee - Chicopee Comprehensive High School,102,209,28,7,  38.0
Chicopee - Chicopee Comprehensive High School,122,130,67,27,  32.0
Chicopee - Chicopee Comprehensive High School,23,157,130,19,N/A
Chicopee - Chicopee High,52,152,35,7,  28.0
Chicopee - Chicopee High,79,67,59,35,  29.0
Chicopee - Chicopee High,17,83,97,19,N/A
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,22,47,0,0,  68.0
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,37,29,3,0,  85.0
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,8,49,9,1,N/A
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,9,44,0,0,  60.0
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,19,27,7,0,  75.0
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,3,33,8,1,N/A
Clinton - Clinton Senior High,36,59,6,0,  51.0
Clinton - Clinton Senior High,40,32,23,4,  53.0
Clinton - Clinton Senior High,11,44,35,5,N/A
Concord-Carlisle - Concord Carlisle High,252,61,3,1,  56.0
Concord-Carlisle - Concord Carlisle High,240,55,9,10,  55.0
Concord-Carlisle - Concord Carlisle High,183,101,11,1,N/A
Danvers - Danvers High,155,88,5,2,  58.0
Danvers - Danvers High,153,65,25,10,  52.0
Danvers - Danvers High,68,129,44,1,N/A
Dartmouth - Dartmouth High,145,113,9,4,  48.0
Dartmouth - Dartmouth High,143,87,28,13,  22.0
Dartmouth - Dartmouth High,67,147,37,7,N/A
Dedham - Dedham High,96,75,6,2,  35.0
Dedham - Dedham High,131,32,9,5,  67.5
Dedham - Dedham High,83,68,16,1,N/A
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,129,68,3,4,  64.0
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,123,55,19,6,  49.0
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,59,116,20,5,N/A
Douglas - Douglas High School,64,38,1,1,  66.0
Douglas - Douglas High School,47,29,24,5,  35.5
Douglas - Douglas High School,34,47,19,0,N/A
Dover-Sherborn - Dover-Sherborn Regional High,142,15,0,0,  72.0
Dover-Sherborn - Dover-Sherborn Regional High,138,18,1,0,  69.0
Dover-Sherborn - Dover-Sherborn Regional High,97,57,1,0,N/A
Dracut - Dracut Senior High,76,95,6,3,  57.0
Dracut - Dracut Senior High,87,59,24,11,  68.0
Dracut - Dracut Senior High,41,94,20,9,N/A
Dudley-Charlton Reg - Shepherd Hill Regional High,152,127,14,1,  42.0
Dudley-Charlton Reg - Shepherd Hill Regional High,160,94,33,6,  41.0
Dudley-Charlton Reg - Shepherd Hill Regional High,92,146,33,4,N/A
Duxbury - Duxbury High,194,74,1,0,  60.0
Duxbury - Duxbury High,204,47,14,1,  57.0
Duxbury - Duxbury High,137,107,17,0,N/A
East Longmeadow - East Longmeadow High,111,101,7,1,  41.0
East Longmeadow - East Longmeadow High,109,72,37,5,  49.0
East Longmeadow - East Longmeadow High,60,106,43,1,N/A
Easthampton - Easthampton High,37,59,12,1,  45.0
Easthampton - Easthampton High,44,38,20,5,  46.0
Easthampton - Easthampton High,24,46,30,4,N/A
Easton - Oliver Ames High,151,126,6,1,  34.0
Easton - Oliver Ames High,172,78,30,7,  33.0
Easton - Oliver Ames High,56,142,82,2,N/A
Edward M. Kennedy Academy for Health Careers - Edward M. Kennedy Academy for Health Careers,34,51,5,0,  64.0
Edward M. Kennedy Academy for Health Careers - Edward M. Kennedy Academy for Health Careers,24,38,22,6,  29.0
Edward M. Kennedy Academy for Health Careers - Edward M. Kennedy Academy for Health Careers,0,30,52,0,N/A
Essex North Shore Agricultural and Technical School District - Essex Technical High School,128,137,11,1,  61.0
Essex North Shore Agricultural and Technical School District - Essex Technical High School,116,95,50,15,  47.5
Essex North Shore Agricultural and Technical School District - Essex Technical High School,64,117,36,6,N/A
Everett - Everett High,176,228,42,14,  58.0
Everett - Everett High,172,136,99,50,  57.0
Everett - Everett High,60,173,159,32,N/A
Fairhaven - Fairhaven High,64,71,10,3,  33.0
Fairhaven - Fairhaven High,97,34,10,6,  63.5
Fairhaven - Fairhaven High,37,62,40,4,N/A
Fall River - B M C Durfee High,186,244,54,25,  56.0
Fall River - B M C Durfee High,171,131,116,86,  31.5
Fall River - B M C Durfee High,71,181,180,40,N/A
Fall River - Resiliency Preparatory School,0,11,6,0, 
Fall River - Resiliency Preparatory School,1,6,3,5, 
Fall River - Resiliency Preparatory School,0,1,8,5,N/A
Falmouth - Falmouth High,140,79,6,3,  60.0
Falmouth - Falmouth High,139,58,16,11,  42.0
Falmouth - Falmouth High,71,98,34,3,N/A
Fitchburg - Fitchburg High,71,148,36,10,  47.0
Fitchburg - Fitchburg High,67,72,85,34,  41.0
Fitchburg - Fitchburg High,23,81,111,22,N/A
Fitchburg - Goodrich Academy,1,8,2,0, 
Fitchburg - Goodrich Academy,2,3,4,1, 
Foxborough - Foxborough High,105,101,3,1,  44.0
Foxborough - Foxborough High,135,55,17,5,  44.0
Foxborough - Foxborough High,72,104,25,3,N/A
Framingham - Framingham High School,268,199,18,3,  56.0
Framingham - Framingham High School,311,111,40,26,  63.0
Framingham - Framingham High School,186,215,56,9,N/A
Franklin - Franklin High,276,116,2,1,  47.0
Franklin - Franklin High,287,75,23,9,  43.0
Franklin - Franklin High,181,170,34,2,N/A
Franklin County Regional Vocational Technical - Franklin County Technical,20,94,9,3,  39.5
Franklin County Regional Vocational Technical - Franklin County Technical,34,54,29,9,  49.5
Franklin County Regional Vocational Technical - Franklin County Technical,11,64,34,1,N/A
Freetown-Lakeville - Apponequet Regional High,105,46,2,1,  64.0
Freetown-Lakeville - Apponequet Regional High,111,32,9,4,  60.0
Freetown-Lakeville - Apponequet Regional High,60,60,30,1,N/A
Gardner - Gardner Academy for Learning and Technology,0,10,4,0, 
Gardner - Gardner Academy for Learning and Technology,1,3,5,5, 
Gardner - Gardner High,35,69,11,2,  35.5
Gardner - Gardner High,38,39,29,10,  46.0
Gardner - Gardner High,14,52,41,3,N/A
Gateway - Gateway Regional High,21,34,2,2,  31.0
Gateway - Gateway Regional High,28,13,13,5,  52.0
Gateway - Gateway Regional High,6,37,12,1,N/A
Georgetown - Georgetown High School,70,22,2,0,  64.0
Georgetown - Georgetown High School,57,27,8,2,  59.5
Georgetown - Georgetown High School,33,55,4,0,N/A
Gill-Montague - Turners Fall High,21,36,1,3,  33.0
Gill-Montague - Turners Fall High,32,15,8,5,  39.0
Gill-Montague - Turners Fall High,12,34,8,2,N/A
Gloucester - Gloucester High,79,102,8,3,  47.0
Gloucester - Gloucester High,91,52,32,16,  43.5
Gloucester - Gloucester High,33,102,43,5,N/A
Grafton - Grafton High School,111,65,4,4,  57.0
Grafton - Grafton High School,119,37,19,12,  41.0
Grafton - Grafton High School,72,73,29,5,N/A
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,114,228,14,0,  45.0
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,142,129,62,23,  41.0
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,47,205,77,10,N/A
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,65,231,40,9,  57.0
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,64,123,101,56,  39.0
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,13,177,105,42,N/A
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,131,321,45,19,  56.0
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,183,197,89,45,  64.0
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,46,273,143,30,N/A
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,148,354,39,2,  40.0
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,171,220,120,30,  32.0
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,34,273,192,32,N/A
Groton-Dunstable - Groton Dunstable Regional,147,54,1,0,  55.0
Groton-Dunstable - Groton Dunstable Regional,180,21,1,0,  72.0
Groton-Dunstable - Groton Dunstable Regional,98,83,14,0,N/A
Hamilton-Wenham - Hamilton-Wenham Regional High,119,35,0,3,  63.0
Hamilton-Wenham - Hamilton-Wenham Regional High,118,30,5,4,  63.0
Hamilton-Wenham - Hamilton-Wenham Regional High,81,57,13,3,N/A
Hampden-Wilbraham - Minnechaug Regional High,191,95,3,1,  55.0
Hampden-Wilbraham - Minnechaug Regional High,191,68,24,6,  46.5
Hampden-Wilbraham - Minnechaug Regional High,50,169,59,6,N/A
Hanover - Hanover High,127,62,3,0,  52.5
Hanover - Hanover High,109,68,14,2,  35.0
Hanover - Hanover High,54,112,22,0,N/A
Haverhill - Haverhill High,149,236,45,17,  38.0
Haverhill - Haverhill High,194,103,99,53,  40.0
Haverhill - Haverhill High,87,157,137,40,N/A
Hingham - Hingham High,232,57,0,5,  54.0
Hingham - Hingham High,230,48,10,6,  62.0
Hingham - Hingham High,154,111,16,6,N/A
Holliston - Holliston High,146,53,2,2,  57.0
Holliston - Holliston High,159,33,8,2,  65.0
Holliston - Holliston High,98,95,9,2,N/A
Holyoke - Holyoke High,78,170,23,19,  54.0
Holyoke - Holyoke High,86,95,65,37,  46.0
Holyoke - Holyoke High,27,125,83,28,N/A
Holyoke - Wm J Dean Vocational Technical High,4,32,27,12,  27.0
Holyoke - Wm J Dean Vocational Technical High,5,8,22,34,  25.5
Holyoke - Wm J Dean Vocational Technical High,0,5,25,31,N/A
Hopkinton - Hopkinton High,219,42,2,1,  46.0
Hopkinton - Hopkinton High,230,26,7,1,  65.5
Hopkinton - Hopkinton High,172,76,7,2,N/A
Hull - Hull High,43,31,7,1,  63.0
Hull - Hull High,39,24,12,4,  53.0
Hull - Hull High,35,32,10,1,N/A
Ipswich - Ipswich High,106,44,3,0,  54.0
Ipswich - Ipswich High,94,42,12,3,  46.5
Ipswich - Ipswich High,57,65,25,1,N/A
King Philip - King Philip Regional High,200,105,9,2,  42.0
King Philip - King Philip Regional High,209,68,28,7,  54.0
King Philip - King Philip Regional High,146,134,23,5,N/A
Lawrence - Business Management & Finance High School,12,52,22,4,  48.0
Lawrence - Business Management & Finance High School,20,26,29,15,  50.0
Lawrence - Business Management & Finance High School,0,9,40,7,N/A
Lawrence - Health & Human Services High School,18,67,11,9,  54.0
Lawrence - Health & Human Services High School,27,31,30,17,  68.0
Lawrence - Health & Human Services High School,5,25,55,14,N/A
Lawrence - Humanities & Leadership Development High School,35,71,11,1,  75.5
Lawrence - Humanities & Leadership Development High School,22,46,30,17,  48.5
Lawrence - Humanities & Leadership Development High School,1,24,61,13,N/A
Lawrence - International High School,0,1,36,57, 
Lawrence - International High School,0,4,8,80, 
Lawrence - International High School,0,1,9,51,N/A
Lawrence - Math Science & Technology High School,45,57,12,9,  57.0
Lawrence - Math Science & Technology High School,57,25,19,19,  44.0
Lawrence - Math Science & Technology High School,5,47,46,6,N/A
Lawrence - Performing & Fine Arts High School,19,84,33,6,  41.0
Lawrence - Performing & Fine Arts High School,27,35,40,39,  30.0
Lawrence - Performing & Fine Arts High School,5,27,74,18,N/A
Lawrence - Phoenix Academy Lawrence,2,13,0,0, 
Lawrence - Phoenix Academy Lawrence,4,7,3,2, 
Leicester - Leicester High,47,45,9,0,  47.0
Leicester - Leicester High,47,35,16,2,  36.0
Leicester - Leicester High,25,52,14,1,N/A
Leominster - Center For Technical Education Innovation,22,91,10,8,  25.5
Leominster - Center For Technical Education Innovation,59,48,11,14,  46.0
Leominster - Center For Technical Education Innovation,33,61,27,2,N/A
Leominster - Leominster High School,106,131,23,9,  40.0
Leominster - Leominster High School,125,76,49,21,  38.0
Leominster - Leominster High School,61,61,25,3,N/A
Lexington - Lexington High,416,87,0,0,  54.0
Lexington - Lexington High,462,37,5,0,  60.0
Lexington - Lexington High,337,140,12,0,N/A
Lincoln-Sudbury - Lincoln-Sudbury Regional High,334,108,4,4,  47.0
Lincoln-Sudbury - Lincoln-Sudbury Regional High,367,59,12,10,  56.0
Lincoln-Sudbury - Lincoln-Sudbury Regional High,188,209,33,9,N/A
Littleton - Littleton High School,80,39,0,1,  52.5
Littleton - Littleton High School,94,21,3,2,  63.0
Littleton - Littleton High School,65,42,10,1,N/A
Longmeadow - Longmeadow High,160,58,2,1,  55.0
Longmeadow - Longmeadow High,163,41,12,5,  57.0
Longmeadow - Longmeadow High,108,88,14,2,N/A
Lowell - Lowell High,226,351,68,28,  47.5
Lowell - Lowell High,291,194,106,83,  43.0
Lowell - Lowell High,89,255,193,73,N/A
Lowell Middlesex Academy Charter - Lowell Middlesex Academy Charter School,2,5,4,0, 
Ludlow - Ludlow Senior High,103,100,15,5,  53.0
Ludlow - Ludlow Senior High,135,53,25,12,  57.0
Ludlow - Ludlow Senior High,43,109,59,9,N/A
Lynn - Classical High,96,185,42,24,  51.0
Lynn - Classical High,97,92,87,73,  41.0
Lynn - Classical High,45,89,145,22,N/A
Lynn - Lynn English High,123,168,58,27,  66.0
Lynn - Lynn English High,121,89,84,77,  58.5
Lynn - Lynn English High,24,123,150,39,N/A
Lynn - Lynn Vocational Technical Institute,39,119,31,18,  61.0
Lynn - Lynn Vocational Technical Institute,28,63,64,51,  41.5
Lynn - Lynn Vocational Technical Institute,6,53,115,17,N/A
Lynnfield - Lynnfield High,125,25,2,0,  61.0
Lynnfield - Lynnfield High,105,40,7,0,  59.0
Lynnfield - Lynnfield High,74,70,7,1,N/A
Malden - Malden High,161,198,25,7,  44.0
Malden - Malden High,190,112,68,18,  51.0
